Id,Label,timeset,net,relation,num_followers,num_following,num_list,num_statuses,join_date varchar,componentnumber,modularity_class,indegree,outdegree,degree
1,CEDEX_es,,dalvarez37,1408835183260864521,2,2,1,0,2021-04-21 15:13:45,0,0,9,34,43
2,AgronomiaUCO,,dalvarez37,1408835183260864521,2,2,3,0,2021-01-12 10:36:59,0,1,2,19,21
3,RDemografico,,dalvarez37,1408835183260864521,3,2,3,1,2020-11-25 22:32:28,0,0,55,65,120
4,IEO_Canarias,,dalvarez37,1408835183260864521,3,1,2,1,2020-11-25 13:08:09,0,1,18,29,47
5,AccEducativaExt,,dalvarez37,1408835183260864521,3,2,2,1,2020-10-01 11:53:30,0,3,26,47,73
6,CGEspManchester,,dalvarez37,1408835183260864521,3,2,3,0,2020-09-25 13:54:09,0,3,32,82,114
7,SpainOECD,,dalvarez37,1408835183260864521,2,2,3,0,2020-09-24 10:20:40,0,2,14,19,33
8,AESAN_gob_es,,dalvarez37,1408835183260864521,3,2,2,1,2020-09-21 08:55:17,0,0,9,14,23
9,Ctramiss_Chile,,dalvarez37,1408835183260864521,2,2,2,0,2020-09-17 10:43:32,0,0,8,36,44
10,ConsuladoEspSP,,dalvarez37,1408835183260864521,3,2,2,1,2020-09-16 15:01:49,0,3,29,67,96
11,ConEspBahia,,dalvarez37,1408835183260864521,2,2,2,0,2020-09-10 12:53:45,0,2,47,206,253
12,ene_gob,,dalvarez37,1408835183260864521,3,2,3,1,2020-09-09 08:41:45,0,0,54,75,129
13,ConsetrabEspSn,,dalvarez37,1408835183260864521,2,2,2,0,2020-09-07 13:33:57,0,0,9,23,32
14,conespsantiago,,dalvarez37,1408835183260864521,3,1,3,0,2020-08-14 14:05:03,0,2,14,14,28
15,INTCFjusticia,,dalvarez37,1408835183260864521,2,2,2,1,2020-07-21 10:46:27,0,0,4,50,54
16,SE_MemoDemo,,dalvarez37,1408835183260864521,3,2,2,1,2020-07-20 08:00:05,0,0,24,25,49
17,IBGM_es,,dalvarez37,1408835183260864521,2,2,2,0,2020-07-02 07:47:46,0,1,18,20,38
18,irnasa_csic,,dalvarez37,1408835183260864521,2,2,2,0,2020-06-25 07:28:15,0,1,31,46,77
19,IIPPGob,,dalvarez37,1408835183260864521,3,2,3,1,2020-06-18 16:40:43,0,0,19,35,54
20,SEtelecoGob,,dalvarez37,1408835183260864521,3,2,2,1,2020-05-22 06:35:16,0,0,26,48,74
21,MNdAntropologia,,dalvarez37,1408835183260864521,3,3,3,1,2020-05-10 11:16:12,0,3,31,49,80
22,LGTBIGob,,dalvarez37,1408835183260864521,4,2,2,2,2020-04-22 09:23:45,0,0,40,36,76
23,ConEspSanPeter,,dalvarez37,1408835183260864521,2,2,2,0,2020-04-13 14:00:12,0,3,6,44,50
24,ConEspAgadir,,dalvarez37,1408835183260864521,2,1,2,0,2020-03-18 09:57:00,0,0,11,15,26
25,EmbEspHonduras,,dalvarez37,1408835183260864521,3,2,2,0,2020-03-16 16:58:31,0,2,23,16,39
26,ConsEspSD,,dalvarez37,1408835183260864521,3,2,2,0,2020-02-17 12:35:59,0,2,41,192,233
27,SEstadoMigr,,dalvarez37,1408835183260864521,3,2,3,2,2020-02-03 11:00:29,0,0,65,52,117
28,consumogob,,dalvarez37,1408835183260864521,4,2,3,2,2020-02-03 09:08:06,0,0,75,31,106
29,inclusiongob,,dalvarez37,1408835183260864521,4,2,3,2,2020-01-12 19:08:58,0,0,109,68,177
30,CGEspRosario,,dalvarez37,1408835183260864521,3,1,2,0,2020-01-02 13:22:35,0,0,8,21,29
31,UniversidadGob,,dalvarez37,1408835183260864521,4,2,3,2,2019-12-13 12:30:29,0,0,124,28,152
32,iiag_csic,,dalvarez37,1408835183260864521,2,2,2,0,2019-11-11 11:29:00,0,1,26,25,51
33,CARobotica_,,dalvarez37,1408835183260864521,2,3,2,0,2019-11-07 09:27:23,0,1,26,152,178
34,Igm_Leon,,dalvarez37,1408835183260864521,2,2,2,0,2019-10-10 09:00:12,0,1,17,47,64
35,embespeslovenia,,dalvarez37,1408835183260864521,2,1,2,0,2019-09-27 09:55:10,0,2,10,17,27
36,CtramissBelgica,,dalvarez37,1408835183260864521,2,2,2,0,2019-09-25 09:34:32,0,0,14,42,56
37,EmbEspGhana,,dalvarez37,1408835183260864521,2,2,2,0,2019-09-16 13:10:15,0,2,47,194,241
38,ConsejeriaFr,,dalvarez37,1408835183260864521,2,1,3,0,2019-09-16 12:55:06,0,0,20,22,42
39,eea_csic,,dalvarez37,1408835183260864521,2,2,2,1,2019-09-13 12:10:00,0,1,19,86,105
40,ConEspNapoles,,dalvarez37,1408835183260864521,2,1,2,0,2019-09-10 10:12:56,0,2,15,15,30
41,IBMB_CSIC,,dalvarez37,1408835183260864521,2,2,2,0,2019-09-05 12:30:20,0,1,28,50,78
42,ConsejeriaEnAle,,dalvarez37,1408835183260864521,2,2,3,0,2019-09-05 12:02:24,0,0,21,42,63
43,ctramiss_cu,,dalvarez37,1408835183260864521,3,1,3,0,2019-09-03 18:25:24,0,0,8,10,18
44,ctramiss_mx,,dalvarez37,1408835183260864521,2,2,3,0,2019-09-03 16:53:24,0,0,17,39,56
45,ICAlejandria,,dalvarez37,1408835183260864521,2,1,2,0,2019-07-08 12:30:34,0,3,42,48,90
46,EmbEspCatar,,dalvarez37,1408835183260864521,2,2,2,0,2019-06-25 10:03:36,0,2,25,36,61
47,ConEspSantaCruz,,dalvarez37,1408835183260864521,2,1,2,0,2019-05-23 18:24:14,0,2,9,33,42
48,ICB_CSIC,,dalvarez37,1408835183260864521,2,1,2,0,2019-04-29 10:12:07,0,1,21,12,33
49,SaludISCIII,,dalvarez37,1408835183260864521,4,2,3,2,2019-04-13 23:04:59,0,1,76,42,118
50,AesaSpain,,dalvarez37,1408835183260864521,4,1,3,2,2019-03-05 08:31:40,0,0,27,21,48
51,iplacsic,,dalvarez37,1408835183260864521,2,1,2,0,2019-03-01 08:11:44,0,1,24,14,38
52,oapngob,,dalvarez37,1408835183260864521,4,2,3,2,2019-02-20 09:20:29,0,0,64,37,101
53,CHJucar,,dalvarez37,1408835183260864521,3,2,3,1,2019-02-13 11:34:59,0,0,21,27,48
54,ConEspToronto,,dalvarez37,1408835183260864521,2,2,3,0,2019-02-08 19:36:19,0,0,5,37,42
55,EmbEspCroacia,,dalvarez37,1408835183260864521,2,2,3,1,2019-02-01 11:42:40,0,2,56,197,253
56,ConsTrabajoUSA,,dalvarez37,1408835183260864521,2,2,2,0,2019-01-30 14:47:54,0,0,17,36,53
57,comisionadoPI,,dalvarez37,1408835183260864521,3,2,3,1,2019-01-29 13:35:24,0,0,55,73,128
58,utm_csic,,dalvarez37,1408835183260864521,2,2,2,1,2019-01-25 13:17:43,0,1,22,14,36
59,IEM_CSIC,,dalvarez37,1408835183260864521,2,2,2,0,2019-01-24 11:36:54,0,1,46,117,163
60,IDAEA_CSIC,,dalvarez37,1408835183260864521,3,3,3,1,2019-01-23 14:44:51,0,1,58,84,142
61,CgEspAndorra,,dalvarez37,1408835183260864521,2,1,2,0,2019-01-10 09:43:40,0,0,8,21,29
62,CGEspana_en_MZA,,dalvarez37,1408835183260864521,2,1,2,0,2018-12-10 17:17:19,0,0,14,14,28
63,proteccioncivil,,dalvarez37,1408835183260864521,4,2,3,2,2018-11-22 09:57:49,0,0,72,50,122
64,cg_cabo,,dalvarez37,1408835183260864521,2,2,3,0,2018-11-16 10:39:17,0,2,21,102,123
65,IO_CSIC,,dalvarez37,1408835183260864521,2,2,3,1,2018-11-14 10:45:10,0,1,40,36,76
66,CEMgob,,dalvarez37,1408835183260864521,3,2,2,1,2018-10-30 13:26:16,0,0,18,45,63
67,DelGobCantabria,,dalvarez37,1408835183260864521,3,2,4,1,2018-10-09 11:12:07,0,0,42,78,120
68,imb_cnm,,dalvarez37,1408835183260864521,3,2,3,1,2018-10-03 13:54:54,0,1,56,82,138
69,EmbEspSudan,,dalvarez37,1408835183260864521,3,2,3,1,2018-09-27 11:06:53,0,2,45,148,193
70,aemet_antartida,,dalvarez37,1408835183260864521,3,1,3,1,2018-09-14 09:28:09,0,0,22,8,30
71,SEDIAgob,,dalvarez37,1408835183260864521,4,2,3,2,2018-09-03 07:06:38,0,0,88,32,120
72,IC_Krakow,,dalvarez37,1408835183260864521,2,2,3,0,2018-07-24 08:51:49,0,3,42,64,106
73,IgualdadGob,,dalvarez37,1408835183260864521,4,2,3,2,2018-07-23 14:26:32,0,0,122,60,182
74,EspZurich,,dalvarez37,1408835183260864521,3,2,3,1,2018-07-17 09:56:33,0,2,55,113,168
75,IndustriaGob,,dalvarez37,1408835183260864521,3,2,3,1,2018-07-06 10:17:17,0,0,63,75,138
76,TurismoEspGob,,dalvarez37,1408835183260864521,3,2,3,2,2018-07-06 09:33:21,0,0,82,49,131
77,del_illes,,dalvarez37,1408835183260864521,3,2,3,1,2018-07-04 08:12:40,0,0,40,80,120
78,IBVF_Sevilla,,dalvarez37,1408835183260864521,2,2,2,1,2018-06-26 10:12:00,0,1,25,22,47
79,SevillaZF,,dalvarez37,1408835183260864521,2,2,3,1,2018-06-24 11:46:59,0,0,8,19,27
80,territorialgob,,dalvarez37,1408835183260864521,4,2,3,2,2018-06-20 10:53:00,0,0,122,101,223
81,ICP_CSIC,,dalvarez37,1408835183260864521,2,2,2,1,2018-06-18 09:37:01,0,1,41,37,78
82,mitecogob,,dalvarez37,1408835183260864521,4,2,4,2,2018-06-08 10:07:44,0,0,243,70,313
83,IBB_botanic,,dalvarez37,1408835183260864521,3,3,3,1,2018-06-06 11:27:09,0,1,20,30,50
84,IEO_Cadiz,,dalvarez37,1408835183260864521,3,2,3,1,2018-06-01 11:03:18,0,1,22,36,58
85,UBneuroscience,,dalvarez37,1408835183260864521,3,3,3,1,2018-05-30 11:03:49,0,1,16,49,65
86,Agenda2030Gob,,dalvarez37,1408835183260864521,4,3,3,2,2018-05-28 13:52:18,0,0,233,97,330
87,ICMA_Aragon,,dalvarez37,1408835183260864521,2,2,2,1,2018-05-24 11:36:02,0,1,27,24,51
88,museoarqva,,dalvarez37,1408835183260864521,3,2,2,2,2018-05-17 06:56:40,0,3,30,36,66
89,INIA_es,,dalvarez37,1408835183260864521,3,2,3,1,2018-04-26 14:44:57,0,1,48,43,91
90,CogEspLyon,,dalvarez37,1408835183260864521,2,1,3,1,2018-04-04 07:47:22,0,2,44,10,54
91,EmbEspSantaSede,,dalvarez37,1408835183260864521,2,1,2,1,2018-03-19 12:10:02,0,2,52,72,124
92,IEO_Malaga,,dalvarez37,1408835183260864521,3,2,3,1,2018-03-09 16:09:46,0,1,22,41,63
93,IPNA_CSIC,,dalvarez37,1408835183260864521,3,2,3,1,2018-03-06 12:34:09,0,1,30,44,74
94,BCAMBilbao,,dalvarez37,1408835183260864521,3,2,3,1,2018-02-01 10:10:30,0,1,27,48,75
95,IIQ_US_CSIC,,dalvarez37,1408835183260864521,2,1,1,0,2018-01-16 11:35:32,0,1,26,14,40
96,CanalesTaibilla,,dalvarez37,1408835183260864521,3,2,3,1,2018-01-08 11:25:46,0,0,12,23,35
97,IGME1849,,dalvarez37,1408835183260864521,4,3,4,2,2017-12-12 09:53:57,0,1,84,159,243
98,IGFAE_HEP,,dalvarez37,1408835183260864521,2,2,3,1,2017-12-01 18:28:32,0,1,13,14,27
99,DelGobGalicia,,dalvarez37,1408835183260864521,3,2,4,1,2017-11-27 15:32:27,0,0,56,93,149
100,chd_duero,,dalvarez37,1408835183260864521,3,2,3,1,2017-11-22 14:28:21,0,0,21,36,57
101,SpainNATO,,dalvarez37,1408835183260864521,4,2,4,2,2017-11-13 14:09:38,0,2,89,50,139
102,ConEspHamburgo,,dalvarez37,1408835183260864521,2,2,3,1,2017-11-02 09:44:22,0,2,30,23,53
103,DelGobVG,,dalvarez37,1408835183260864521,4,2,3,2,2017-11-02 08:19:37,0,0,91,58,149
104,ImdeaMaterials,,dalvarez37,1408835183260864521,3,1,2,1,2017-10-25 07:43:41,0,1,15,3,18
105,DGobiernoCeuta,,dalvarez37,1408835183260864521,3,2,3,1,2017-10-24 12:14:23,0,0,39,75,114
106,iqfr_csic,,dalvarez37,1408835183260864521,3,2,3,1,2017-10-20 14:41:12,0,1,71,125,196
107,imfcsic,,dalvarez37,1408835183260864521,2,2,3,1,2017-09-27 13:23:08,0,1,25,20,45
108,ICMol_UV,,dalvarez37,1408835183260864521,3,2,3,1,2017-09-27 09:39:30,0,1,22,35,57
109,CogEspNador,,dalvarez37,1408835183260864521,3,1,3,1,2017-08-28 12:22:30,0,2,68,70,138
110,EmbEspAlbania,,dalvarez37,1408835183260864521,3,2,3,0,2017-08-25 10:27:29,0,2,66,75,141
111,DelegGobMl,,dalvarez37,1408835183260864521,3,2,3,1,2017-07-25 09:21:09,0,0,45,95,140
112,CervantesAmman,,dalvarez37,1408835183260864521,2,2,2,0,2017-07-19 11:07:46,0,3,55,64,119
113,ImnCsic,,dalvarez37,1408835183260864521,2,2,2,1,2017-07-08 17:15:24,0,1,53,91,144
114,SE_Comercio,,dalvarez37,1408835183260864521,3,2,3,2,2017-07-05 11:03:49,0,0,70,29,99
115,IConectada40,,dalvarez37,1408835183260864521,3,2,3,2,2017-06-28 19:29:10,0,0,24,27,51
116,EmbEspIraq,,dalvarez37,1408835183260864521,4,2,3,1,2017-06-26 09:02:19,0,2,51,45,96
117,IEF_ES,,dalvarez37,1408835183260864521,3,1,2,1,2017-05-26 17:05:34,0,0,7,33,40
118,EmbEspMalabo,,dalvarez37,1408835183260864521,3,2,3,1,2017-05-09 18:32:00,0,2,91,154,245
119,IEO_ACoruna,,dalvarez37,1408835183260864521,3,2,3,1,2017-05-02 12:34:28,0,1,24,38,62
120,DelGobenLaRioja,,dalvarez37,1408835183260864521,3,2,3,1,2017-04-21 11:09:13,0,0,47,106,153
121,ipbln_csic,,dalvarez37,1408835183260864521,3,2,3,0,2017-04-18 10:54:51,0,1,41,58,99
122,EmbEspCaboVerde,,dalvarez37,1408835183260864521,3,2,3,1,2017-03-27 18:54:16,0,2,94,193,287
123,CABD_UPO_CSIC,,dalvarez37,1408835183260864521,3,2,3,1,2017-03-24 15:00:49,0,1,29,11,40
124,iff_csic,,dalvarez37,1408835183260864521,3,2,3,1,2017-03-23 11:39:20,0,1,56,84,140
125,EmbEspLibia,,dalvarez37,1408835183260864521,3,2,3,1,2017-03-10 17:05:28,0,2,77,110,187
126,CGEspBruselas,,dalvarez37,1408835183260864521,3,1,2,1,2017-02-20 12:37:04,0,2,65,25,90
127,DGobExtremadura,,dalvarez37,1408835183260864521,3,2,3,1,2017-02-20 10:51:54,0,0,45,67,112
128,IEOVigo,,dalvarez37,1408835183260864521,3,3,3,1,2017-02-15 09:12:44,0,1,34,59,93
129,conespmarsella,,dalvarez37,1408835183260864521,3,2,2,1,2017-02-14 09:49:06,0,2,72,70,142
130,ICOgob,,dalvarez37,1408835183260864521,3,2,3,1,2017-02-06 10:49:42,0,0,35,53,88
131,ZonaFrancaGC,,dalvarez37,1408835183260864521,2,2,2,1,2017-01-26 11:57:27,0,0,6,17,23
132,EmbEspHaiti,,dalvarez37,1408835183260864521,3,2,3,1,2017-01-18 17:55:08,0,2,93,183,276
133,IQAC_CSIC,,dalvarez37,1408835183260864521,3,3,3,1,2017-01-17 10:05:50,0,1,46,96,142
134,CienciaGob,,dalvarez37,1408835183260864521,4,3,3,3,2017-01-10 11:08:24,0,1,315,239,554
135,DelGobPaisVasco,,dalvarez37,1408835183260864521,3,3,3,1,2017-01-03 10:12:12,0,0,49,102,151
136,intaespana,,dalvarez37,1408835183260864521,3,3,3,2,2016-12-16 07:11:40,0,0,51,109,160
137,IEOMurcia,,dalvarez37,1408835183260864521,3,1,3,1,2016-12-15 21:33:44,0,1,20,9,29
138,DelGobEnAragon,,dalvarez37,1408835183260864521,3,2,4,1,2016-12-15 08:27:28,0,0,51,126,177
139,DeleGobCataluna,,dalvarez37,1408835183260864521,3,2,4,1,2016-12-08 21:12:11,0,0,60,130,190
140,InfoAdif,,dalvarez37,1408835183260864521,4,1,4,2,2016-11-29 12:36:52,0,0,16,3,19
141,ConsEspPR,,dalvarez37,1408835183260864521,2,1,1,1,2016-10-20 16:02:43,0,2,52,58,110
142,EmbEspTunez,,dalvarez37,1408835183260864521,3,2,3,1,2016-10-11 15:31:19,0,2,70,54,124
143,cogburdeos,,dalvarez37,1408835183260864521,3,2,3,1,2016-10-05 08:57:32,0,2,95,207,302
144,IRNAS_CSIC,,dalvarez37,1408835183260864521,2,2,3,1,2016-10-04 08:30:00,0,1,44,73,117
145,CGEspTanger,,dalvarez37,1408835183260864521,3,1,3,1,2016-09-28 09:23:47,0,2,50,19,69
146,IBBTEC,,dalvarez37,1408835183260864521,3,2,3,1,2016-09-23 09:31:26,0,1,19,20,39
147,mbg_csic,,dalvarez37,1408835183260864521,2,2,3,1,2016-09-12 10:51:59,0,1,34,58,92
148,CGEspOporto,,dalvarez37,1408835183260864521,3,2,3,1,2016-08-26 11:38:50,0,2,98,186,284
149,BiofisikaScienc,,dalvarez37,1408835183260864521,2,2,2,0,2016-08-17 10:41:02,0,1,8,20,28
150,ConsuladoEspNY,,dalvarez37,1408835183260864521,3,1,3,1,2016-07-14 13:09:25,0,2,83,29,112
151,IFCA_CSIC_UC,,dalvarez37,1408835183260864521,3,2,3,1,2016-07-04 12:35:29,0,1,57,106,163
152,EmbEspChina,,dalvarez37,1408835183260864521,3,2,2,1,2016-06-08 06:34:38,0,2,72,30,102
153,CIAL_CSIC_UAM,,dalvarez37,1408835183260864521,3,3,3,1,2016-06-07 10:15:52,0,1,58,81,139
154,DGobiernoCLM,,dalvarez37,1408835183260864521,3,2,3,1,2016-04-28 09:49:58,0,0,53,141,194
155,DelegGobMurcia,,dalvarez37,1408835183260864521,3,2,3,1,2016-04-11 10:41:45,0,0,48,61,109
156,EmbEspKiev,,dalvarez37,1408835183260864521,3,2,3,1,2016-04-04 07:01:27,0,2,74,99,173
157,ConEspSTUTTGART,,dalvarez37,1408835183260864521,3,2,3,1,2016-03-31 07:31:04,0,2,95,164,259
158,ConsEspMty,,dalvarez37,1408835183260864521,3,2,3,1,2016-03-16 17:10:22,0,2,92,154,246
159,ICMAN_CSIC,,dalvarez37,1408835183260864521,3,2,3,1,2016-03-15 12:41:51,0,1,65,105,170
