name,fecha_hora,n_fichero,n_caracteres,distancia,comentario,mencionados,tipo,actuacion,artista,cancion,programa,year,decada
3,2023-12-31T23:00:00Z,00000010.jpg.subtitulo.tif.txt,41,57,"CONCHA VELASCO (Tiempo de fiesto, 1971)",NA,NA,NA,NA,NA,NA,NA,NA
5,2023-12-31T23:00:22Z,00000012.jpg.subtitulo.tif.txt,41,56,"Hello, hello, Buenas noches lo primero,",NA,NA,NA,NA,NA,NA,NA,NA
7,2023-12-31T23:00:45Z,00000016.jpg.subtitulo.tif.txt,69,89,Santamaría era tan apuesto que este cachito lo patrocina Codere.,NA,NA,"LORENZO SANTAMARÍA - Hello, Hello (Luces en la noche, 1974)",LORENZO SANTAMARÍA,"Hello, Hello",Luces en la noche,1974,1970
8,2023-12-31T23:01:08Z,00000017.jpg.subtitulo.tif.txt,79,87,Aquel día el coreógrafo se había pillado el día de asuntos propios.  UT» o. >,NA,NA,"LORENZO SANTAMARÍA - Hello, Hello (Luces en la noche, 1974)",LORENZO SANTAMARÍA,"Hello, Hello",Luces en la noche,1974,1970
10,2023-12-31T23:01:31Z,00000022.jpg.subtitulo.tif.txt,99,109,"Transgresora, valiente, feminista... Mejor nos habría ido si la hubiéramos escuchado un poco más.",NA,NA,"MARI TRINI - Escúchame (Luces en la noche, 1972)",MARI TRINI,Escúchame,Luces en la noche,1972,1970
11,2023-12-31T23:01:54Z,00000023.jpg.subtitulo.tif.txt,67,100,NOTA: que el sofá tenga orejas no significa que pueda escucharte.,NA,NA,"MARI TRINI - Escúchame (Luces en la noche, 1972)",MARI TRINI,Escúchame,Luces en la noche,1972,1970
12,2023-12-31T23:02:17Z,00000027.jpg.subtitulo.tif.txt,41,70,Juan Erasmo Mochi... y parió la abuela.,Juan Erasmo Mochi,artista,"MARI TRINI - Escúchame (Luces en la noche, 1972)",MARI TRINI,Escúchame,Luces en la noche,1972,1970
13,2023-12-31T23:02:40Z,00000028.jpg.subtitulo.tif.txt,93,86,"Tiene mucho mérito triunfar llamándote “Mochi” fuera de la carta de un restaurante japonés,",NA,NA,"MARI TRINI - Escúchame (Luces en la noche, 1972)",MARI TRINI,Escúchame,Luces en la noche,1972,1970
15,2023-12-31T23:03:03Z,00000030.jpg.subtitulo.tif.txt,48,87,Plano subjetivo de la famosa mosca de la tele.,NA,NA,"MARI TRINI - Escúchame (Luces en la noche, 1972)",MARI TRINI,Escúchame,Luces en la noche,1972,1970
17,2023-12-31T23:03:26Z,00000036.jpg.subtitulo.tif.txt,96,108,"Una estrella mexicana con la energía de Tina Turner y la voz de José Luis Ábalos,  o nn 1   NO",Tina Turner,artista,"ALEJANDRA GUZMÁN - Mírala, Miralo (Noches de gala, 1994)",ALEJANDRA GUZMÁN,"Mírala, Miralo",Noches de gala,1994,1990
