Advertiser Name,Funding Entity,Creative,Start date,End Date,Provincia,Targeted Segments,Excluded Targeting Segments,Impressions,Reach,Facts And Circumstances Of Removal,Enforcement Action,Statement Of Reason
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1746857258720362501,2024-01-15T00:00:00Z,2024-01-16T00:00:00Z,N/A,"Spain","",228767,227543,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1701966464285131062,2023-09-13T00:00:00Z,2023-09-14T00:00:00Z,N/A,"Spain","",193519,176116,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1699369350858240117,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,N/A,"Spain","",342108,295486,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1762077551936106607,2024-02-26T00:00:00Z,2024-02-27T00:00:00Z,N/A,"Spain","",447027,268076,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1730140842273239078,N/A,N/A,Almería,"04130 / Almería, ES,04120 / Almería, ES,04002 / Almería, ES,04009 / Almería, ES,04150 / Almería, ES,04131 / Almería, ES,04005 / Almería, ES,04006 / Almería, ES,04008 / Almería, ES,04003 / Almería, ES,04007 / Almería, ES,04004 / Almería, ES,04001 / Almería, ES,04160 / Almería, ES","",13703,11500,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1708851834499310061,2023-10-02T00:00:00Z,2023-10-03T00:00:00Z,N/A,"Spain","",401658,347049,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1739586854716912073,2023-12-26T00:00:00Z,2023-12-27T00:00:00Z,N/A,"Spain","",559230,553586,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1706706941689340321,2023-09-27T00:00:00Z,2023-10-04T00:00:00Z,Guipúzcoa,"Gipuzkoa / Guipúzcoa, ES","",42236,26360,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1727711103071699346,2023-11-23T00:00:00Z,2023-11-24T00:00:00Z,N/A,"Spain","",111356,106342,N/A,N/A,N/A
"Mercadona","Mercadona SA",https://x.com/Mercadona/status/1706572657590694027,2023-09-26T00:00:00Z,2023-09-27T00:00:00Z,N/A,"Spain","",225907,199756,N/A,N/A,N/A
