Latitude;Longitude;Line;Station;Complaint;Num_complaints
40,43496257;-3,719451604;6;moncloa;Accesos;555
40,39115667;-3,695054959;6;legazpi;Accesos;531
40,41127543;-3,708167584;5;la latina;Accesos;419
40,402066;-3,673860954;6;pacifico;Accesos;401
40,40850881;-3,700914061;3;lavapies;Accesos;398
40,44655108;-3,692417814;8;nuevos ministerios;Accesos;348
40,41680989;-3,703263296;3;sol;Accesos;326
40,4387009;-3,704894461;7;canal;Accesos;310
40,38846483;-3,731268776;6;oporto;Accesos;306
40,42008355;-3,70566668;5;callao;Accesos;304
40,43803288;-3,67647195;9;avenida de america;Accesos;300
40,43906103;-3,71374136;7;islas filipinas;Accesos;300
40,44696838;-3,703872359;6;cuatro caminos;Accesos;284
40,42598825;-3,70208572;10;tribunal;Accesos;283
40,41998089;-3,701811088;5;gran via;Accesos;265
40,42292518;-3,697621571;5;chueca;Accesos;264
40,45842219;-3,689862385;10;cuzco;Accesos;258
40,42828317;-3,695024413;5;alonso martinez;Accesos;227
40,42790393;-3,66921458;6;manuel becerra;Accesos;226
40,44632219;-3,712296983;7;guzman el bueno;Accesos;211
40,41502821;-3,669523104;9;sainz de baranda;Accesos;181
40,42099313;-3,720328287;R;principe pio;Accesos;165
40,46689497;-3,689135166;9;plaza de castilla;Accesos;161
40,4693849;-3,638330918;8;mar de cristal;Accesos;156
40,43294536;-3,672942974;6;diego de leon;Accesos;147
40,43837479;-3,699255084;7;alonso cano;Accesos;146
40,43052478;-3,715961816;6;arguelles;Accesos;143
40,40511968;-3,702681998;3;embajadores;Accesos;141
40,45647473;-3,712392398;7;francos rodriguez;Accesos;138
40,42340997;-3,711206492;3;plaza de espana;Accesos;129
40,38709383;-3,706901013;6;usera;Accesos;115
40,35008254;-3,831780176;12;alcorcon central;Accesos;115
40,40259796;-3,711388079;5;piramides;Accesos;114
40,38459969;-3,718373531;6;plaza eliptica;Accesos;110
40,43825029;-3,691495504;7;gregorio maranon;Accesos;96
40,40131345;-3,595982863;9;puerta de arganda;Accesos;96
40,46799398;-3,64867458;8;pinar del rey;Accesos;93
40,3969754;-3,774618022;10;colonia jardin;Accesos;90
40,4315547;-3,679660945;9;nunez de balboa;Accesos;89
40,41808841;-3,709288075;R;opera;Accesos;87
40,39537425;-3,678142252;6;mendez alvaro;Accesos;85
40,45778943;-3,587529856;5;alameda de osuna;Accesos;85
40,39270021;-3,741000009;6;carpetana;Accesos;84
40,42661418;-3,650528502;2;la elipa;Accesos;83
40,47209592;-3,682594013;10;chamartin;Accesos;80
40,42480536;-3,676858101;4;goya;Accesos;77
40,44824478;-3,667918658;4;alfonso xiii;Accesos;74
40,44418666;-3,674823834;4;prosperidad;Accesos;71
40,44355627;-3,726795075;6;ciudad universitaria;Accesos;70
40,40696897;-3,670409628;6;conde de casal;Accesos;69
40,50120067;-3,695209955;10;tres olivos;Accesos;68
40,39155881;-3,653914345;1;buenos aires;Accesos;63
40,40884785;-3,692490889;1;atocha;Accesos;62
40,45582547;-3,656188128;4;arturo soria;Accesos;57
