source,target,value
PabloIglesias,Política,28
PabloIglesias,Universidad,5
PabloIglesias,Periodismo,37
PabloIglesias,Gob,5
PabloIglesias,Institución,2
PabloIglesias,Literatura,3
PabloIglesias,Judicatura,1
PabloIglesias,Consultor,1
PabloIglesias,Economía,1
PabloIglesias,sociología,1
PabloIglesias,Humor,2
sanchezcastejon,Política,64
sanchezcastejon,Universidad,5
sanchezcastejon,Periodismo,49
sanchezcastejon,Gob,14
sanchezcastejon,Institución,21
sanchezcastejon,Literatura,3
sanchezcastejon,Judicatura,1
sanchezcastejon,Consultor,1
sanchezcastejon,Economía,2
sanchezcastejon,sociología,1
sanchezcastejon,Humor,2
agarzon,Política,21
agarzon,Universidad,5
agarzon,Periodismo,41
agarzon,Gob,10
agarzon,Institución,6
agarzon,Literatura,2
agarzon,Judicatura,1
agarzon,sociología,1
agarzon,Humor,3
astro_duque,Política,12
astro_duque,Universidad,2
astro_duque,Periodismo,8
astro_duque,Gob,11
astro_duque,Institución,19
astro_duque,Judicatura,1
astro_duque,Economía,1
astro_duque,sociología,1
astro_duque,Humor,3
IreneMontero,Política,21
IreneMontero,Universidad,1
IreneMontero,Periodismo,50
IreneMontero,Gob,6
IreneMontero,Institución,7
IreneMontero,Literatura,1
IreneMontero,Judicatura,2
IreneMontero,Consultor,1
IreneMontero,Humor,3
abalosmeco,Política,52
abalosmeco,Universidad,2
abalosmeco,Periodismo,43
abalosmeco,Gob,13
abalosmeco,Institución,11
abalosmeco,Literatura,2
abalosmeco,Consultor,1
abalosmeco,Economía,2
carmencalvo_,Política,23
carmencalvo_,Periodismo,2
carmencalvo_,Gob,11
carmencalvo_,Institución,15
Teresaribera,Política,46
Teresaribera,Universidad,5
Teresaribera,Periodismo,40
Teresaribera,Gob,11
Teresaribera,Institución,5
Teresaribera,Literatura,2
Teresaribera,Consultor,1
Teresaribera,Economía,2
Teresaribera,sociología,1
Teresaribera,Humor,2
Yolanda_Diaz_,Política,57
Yolanda_Diaz_,Universidad,5
Yolanda_Diaz_,Periodismo,56
Yolanda_Diaz_,Gob,12
Yolanda_Diaz_,Institución,20
Yolanda_Diaz_,Literatura,3
Yolanda_Diaz_,Judicatura,2
Yolanda_Diaz_,Economía,1
Yolanda_Diaz_,Humor,3
mjmonteroc,Política,26
mjmonteroc,Universidad,1
mjmonteroc,Periodismo,16
mjmonteroc,Gob,5
mjmonteroc,Institución,2
mjmonteroc,Literatura,1
mjmonteroc,Economía,1
mjmonteroc,Humor,1
NadiaCalvino,Política,27
NadiaCalvino,Universidad,6
NadiaCalvino,Periodismo,23
NadiaCalvino,Gob,15
NadiaCalvino,Institución,16
NadiaCalvino,Literatura,1
NadiaCalvino,Judicatura,1
NadiaCalvino,Economía,1
NadiaCalvino,Humor,1
AranchaGlezLaya,Política,30
AranchaGlezLaya,Universidad,4
AranchaGlezLaya,Periodismo,33
AranchaGlezLaya,Gob,12
AranchaGlezLaya,Institución,4
AranchaGlezLaya,Judicatura,1
AranchaGlezLaya,Consultor,1
AranchaGlezLaya,sociología,1
CelaaIsabel,Política,16
CelaaIsabel,Universidad,1
CelaaIsabel,Periodismo,16
CelaaIsabel,Gob,8
CelaaIsabel,Institución,5
CelaaIsabel,Literatura,1
CelaaIsabel,Humor,1
MarotoReyes,Política,38
MarotoReyes,Universidad,2
MarotoReyes,Periodismo,12
MarotoReyes,Gob,11
MarotoReyes,Institución,17
LuisPlanas,Política,35
LuisPlanas,Periodismo,18
LuisPlanas,Gob,9
LuisPlanas,Institución,4
LuisPlanas,Judicatura,1
LuisPlanas,Humor,2
jmrdezuribes,Política,43
jmrdezuribes,Universidad,2
jmrdezuribes,Periodismo,18
jmrdezuribes,Gob,9
jmrdezuribes,Institución,2
jmrdezuribes,Literatura,3
jmrdezuribes,Judicatura,1
jmrdezuribes,Consultor,1
jmrdezuribes,Economía,2
jmrdezuribes,sociología,1
salvadorilla,Política,15
salvadorilla,Universidad,1
salvadorilla,Periodismo,10
salvadorilla,Gob,2
salvadorilla,Institución,7
salvadorilla,Consultor,1
CarolinaDarias,Política,47
CarolinaDarias,Universidad,3
CarolinaDarias,Periodismo,37
CarolinaDarias,Gob,7
CarolinaDarias,Institución,10
CarolinaDarias,Judicatura,1
CarolinaDarias,Consultor,1
CarolinaDarias,Economía,1
CarolinaDarias,Humor,2
joseluisescriva,Institución,2
Jccampm,Política,26
Jccampm,Universidad,1
Jccampm,Periodismo,20
Jccampm,Gob,6
Jccampm,Institución,3
Jccampm,Literatura,3
Jccampm,Judicatura,1
Jccampm,Economía,1
