User;Role;h-index;Followers/Following;log_followers;Ratio RT_in;Ratio_RT_out;Ratio Reply_out;Frequency;Ratio multimedia;Ratio URL;Ratio HT
nuriaoliver;Networker;15;103,615942;4;1,37398374;0,453029461;0,40077821;8,44600939;0,03557532;0,350194553;0,315730962
prats_clara;Networker;9;46,75813953;4;3,041666667;0,52;0,35;3,333333333;0,025;0,305;0,15
aliciaasin;Networker;8;37,80495356;4;1,543478261;0,425;0,125;2,684563758;0,005;0,575;0,52
sorprendida;Networker;21;21,66089552;4;1,444444444;0,257846154;0,560307692;2,770673487;0,056307692;0,276;0,364
puratura;Networker;25;20,77990431;3;2,96009577;0,297251823;0,435782389;3,573146293;0,078519349;0,453729669;0,104879417
carmeartigas;Altavoz medio;41;17,22033898;4;15,11111111;0,603289474;0,044078947;2,5;0,032236842;0,405263158;0,769736842
helleworld_;Networker;27;17,01992528;4;1,666509434;0,350291143;0,500153233;24,71969697;0,052099295;0,334661355;0,125038308
minipetite;Altavoz bajo;25;15,27575058;4;4,155096012;0,317540323;0,271169355;9,538461538;0,120967742;0,508064516;0,08266129
diana_aceves_;Networker;20;13,91205212;3;1,093504344;0,252165842;0,59529703;40,4;0,154084158;0,295482673;0,026608911
vanesa_tejada;Networker;20;13,59326425;3;1,538041002;0,32440751;0,322560788;3,683673469;0,105263158;0,319482918;0,234225916
MartaMachoS;Retuiteador;17;13,43820225;3;2,849364791;0,724362181;0,057028514;46,48837209;0,03901951;0,489244622;0,492246123
rosapolis;Replicador;5;13,25;3;0,267068273;0,17;0,685;1,671309192;0,026666667;0,41;0,028333333
isabelcabezasm;Networker;13;12,87755102;3;0,73255814;0,355604121;0,372463316;3,781582054;0,174836091;0,332812988;0,499531689
trisha_gee;Networker;30;12,76660762;4;2,037151703;0,307079375;0,472571253;6,410609037;0,016242721;0,385534784;0,183266932
LauraLacarra;Altavoz bajo;27;12,75307263;4;3,543048694;0,130674847;0,600613497;8,467532468;0,096932515;0,319018405;0,155214724
MarinaAisa;Replicador;24;11,82184655;3;1,097427246;0,150483698;0,638122537;3,701591512;0,037620924;0,433536367;0,10390541
sbarrera0;Altavoz bajo;42;11,44160782;4;3,9595;0,386503067;0,451533742;4,054726368;0,052760736;0,301533742;0,315337423
loretahur;Altavoz medio;67;11,34984833;4;14,83034953;0,278597786;0,298892989;6,478087649;0,156519065;0,49600246;0,187576876
nabaroa;Networker;11;11,24242424;3;0,402253521;0,25918197;0,42278798;3,986688852;0,28672788;0,270450751;0,210350584
ladybenko;Networker;10;10,56113903;3;1,021333333;0,375;0,368333333;20,68965517;0,181666667;0,283333333;0,07
miriamgonp;Replicador;26;10,44359756;3;1,192002758;0,032354903;0,618078719;11,18656716;0,170113409;0,326217478;0,033022015
Elena_Gil_Liza;Networker;11;9,63003663;3;2,184210526;0,549915398;0,037225042;1,804580153;0,031302876;0,476311337;0,54822335
PyLadiesMadrid;Altavoz bajo;15;9,5;3;5,057823129;0,610596026;0,059602649;2,294832827;0,105960265;0,385430464;0,62781457
ariamsita;Networker;9;9,15918958;3;2,206451613;0,225;0,3075;6,666666667;0,0975;0,4275;0,07
MartaFonda;Networker;11;8,974025974;3;0,54454343;0,154690932;0,290555381;2,447772657;0,204267336;0,428302479;1,046752432
DevWomen_ES;Altavoz bajo;11;8,891891892;2;3,187012987;0,347457627;0,088135593;3,352272727;0,06440678;0,625423729;0,923728814
ClaraGrima;Replicador;36;8,763089431;4;2,148357871;0,187672493;0,687519166;48,67164179;0,042318307;0,133394664;0,068383931
thaisdev;Networker;10;8,054945055;3;0,340136054;0,366574331;0,534626039;8,87704918;0,106494306;0,206832872;0,067713143
girlie_mac;Networker;20;7,977219626;4;0,789652248;0,092727972;0,510580993;5,775555556;0,158907272;0,391689111;0,164678723
PauGuisado;Altavoz bajo;19;7,92920354;3;3,329083665;0,302777778;0,423333333;5,070422535;0,076111111;0,303333333;0,091111111
Irene_GoLu;Altavoz bajo;11;7,190647482;3;3,063670412;0,365795724;0,144893112;1,806866953;0,066508314;0,551068884;0,612826603
GloriaVazquez_;Replicador;12;7,080979284;3;0,573227303;0,056875;0,734375;9,467455621;0,029375;0,34;0,026875
